# Aqui comienza la evaluacion de las interacciones de los usuarios 
Interaction Number,Timestamp,MRR,Precision,Cosine Similarity,ROUGE-1,ROUGE-L,BLEU
1,2024-09-22 14:14:20,0,0.0,0.07943248776279499,0.010362694300518133,0.010362694300518133,5.023388855668308e-232
1,2024-09-22 14:24:06,0,0.0,0.17731272988159694,0.03092783505154639,0.03092783505154639,5.973849768586386e-232,3.2790839672088623
1,2024-09-22 14:35:51,hola,"Hola, ¿en qué puedo ayudarte hoy con respecto a la búsqueda y análisis de productos?",0,0.0,0.2011946755849157,0.0,0,0,8.821487426757812e-06
2,2024-09-22 14:36:08,quiero saber mas de MAc Afee,"1. En relación a MacAfee, es importante destacar que se trata de una conocida empresa de software de seguridad informática que ofrece diferentes soluciones para proteger dispositivos contra virus, malware y otras amenazas en línea. MacAfee es ampliamente reconocido en el mercado por su enfoque en la seguridad de los sistemas informáticos y la protección de la privacidad de los usuarios. En caso de requerir más información específica sobre algún producto o servicio en particular de MacAfee, estaré encantado de brindarte detalles adicionales.

2. Evaluación del sentimiento general de las reseñas proporcionadas:
2,2024-09-28 20:10:36,"Ich habe jahrelang McAfee verwendet und es hat perfekt funktioniert. Ein Freund schlägt vor, zu Norton zu wechseln, aber ich bin nicht sicher. Was sagen die Benutzerbewertungen über Norton im Vergleich zu McAfee? Lohnt es sich wirklich, zu wechseln?",0,0.0,0.06368592695351019,0.06396588486140725,0.038379530916844345,6.74575269410979e-232,4.875024080276489
1,2024-09-28 20:12:58,me puedes decir que opinan sobre Amazon,0,0.0,0.1160728722380443,0.005494505494505495,0.005494505494505495,4.2520743356134564e-232,5.651822090148926
1,2024-09-28 20:19:46,me gustaria saber mas de amazon,0,0.0,0.1669083853439661,0.010050251256281405,0.010050251256281405,4.96010050507448e-232,3.5736119747161865
1,2024-09-28 20:24:42,"Ich habe jahrelang McAfee verwendet und es hat perfekt funktioniert. Ein Freund schlägt vor, zu Norton zu wechseln, aber ich bin nicht sicher. Was sagen die Benutzerbewertungen über Norton im Vergleich zu McAfee? Lohnt es sich wirklich, zu wechseln?",0,0.0,0.06487301778237745,0.058577405857740586,0.04602510460251046,6.287254556762128e-232,5.621293783187866
2,2024-09-28 20:25:18,"Ich habe jahrelang McAfee verwendet und es hat perfekt funktioniert. Ein Freund schlägt vor, zu Norton zu wechseln, aber ich bin nicht sicher. Was sagen die Benutzerbewertungen über Norton im Vergleich zu McAfee? Lohnt es sich wirklich, zu wechseln?",0,0.0,0.07339914132937565,0.04174573055028463,0.03415559772296016,6.049567779036638e-232,7.0516932010650635
1,2024-09-28 21:21:05,¿Qué opinan los usuarios sobre Amazon Music...,0,0.0,0.17034495146079487,0.06787330316742081,0.04072398190045248,7.068660833405068e-232,4.868700981140137
2,2024-09-28 21:21:19,¿Cómo describen su experiencia con TurboTax...,0,0.0,0.04264232895456013,0.057210965435041714,0.04052443384982122,6.413662578098604e-232,6.907886028289795
1,2024-09-28 21:34:17,¿Cómo describen su experiencia con TurboTax?...,0,0.0,0.11664938053497348,0.05191256830601093,0.03825136612021858,3.8520177861260405e-232,4.699206113815308
2,2024-09-28 21:38:35,¿Cómo describen su experiencia con TurboTax?...,0,0.0,0.0,0.004376367614879649,0.004376367614879649,2.692713007967509e-240,1.0219650268554688
3,2024-09-28 21:38:50,¿Qué opinan los usuarios sobre Amazon Music?...,0,0.0,0.21044042169462063,0.0694006309148265,0.04416403785488959,4.683272766143483e-232,5.328168869018555
4,2024-09-28 21:39:01,¿Cómo describen su experiencia con TurboTax?...,0,0.0,0.09417069063598466,0.06349206349206349,0.04329004329004329,2.9980381570096336e-232,5.595296859741211
5,2024-09-28 21:42:43,¿Cómo describen su experiencia con TurboTax?...,0,0.0,0.03421651299160178,0.06417112299465241,0.0481283422459893,4.608222363562555e-232,6.125153064727783
1,2024-09-28 21:44:01,¿Qué opinan los usuarios sobre Amazon Music?...,0,0.0,0.15317350581551453,0.0784313725490196,0.06162464985994398,4.523966563792634e-232,4.6465349197387695
2,2024-09-28 21:45:26,hola,0,0.0,0.2011946755849157,0.0,0,0,1.2874603271484375e-05
1,2024-09-28 21:51:53,¿Cómo describen su experiencia con TurboTax?...,0,0.0,0.06219332440924234,0.05653710247349823,0.04711425206124853,6.135905935555245e-232,7.041234970092773
2,2024-09-28 22:08:02,¿Qué opinan los usuarios sobre Amazon Music?...,0,0.0,0.1682107094937032,0.07614213197969545,0.04568527918781726,5.2365941639833255e-232,6.741862773895264
3,2024-09-28 22:09:25,me puedes decir que opinan sobre Amazon,0,0.0,0.09559839329034402,0.010695187165775402,0.005347593582887701,5.067913641293489e-232,5.647493839263916
4,2024-09-28 22:10:29,me puedes decir que opinan sobre Amazon,0,0.0,0.07248657169450327,0.005571030640668524,0.005571030640668524,4.300751560912214e-232,6.421787738800049
